neighborhood,block,bedrooms,pct.of.block,pct.of.neighborhood
FAIRVIEW,550790193003002,76,1,0.01731996353691887
FAIRVIEW,550790193003003,43,1,0.009799453053783045
FAIRVIEW,550790193003004,44,1,0.010027347310847767
FAIRVIEW,550790193003005,78,1,0.017775752051048314
FAIRVIEW,550790193003006,73,1,0.016636280765724702
FAIRVIEW,550790193003007,80,1,0.018231540565177756
FAIRVIEW,550790193003008,52,1,0.011850501367365542
FAIRVIEW,550790193003009,53,1,0.012078395624430265
FAIRVIEW,550790193003010,46,1,0.010483135824977211
FAIRVIEW,550790193003011,21,1,0.004785779398359161
FAIRVIEW,550790193003012,2,1,4.5578851412944393e-4
FAIRVIEW,550790193004000,5,1,0.0011394712853236098
FAIRVIEW,550790193004001,92,1,0.020966271649954422
FAIRVIEW,550790193004002,68,1,0.015496809480401094
FAIRVIEW,550790193004003,77,1,0.01754785779398359
FAIRVIEW,550790193004004,101,1,0.02301731996353692
FAIRVIEW,550790193004005,58,1,0.013217866909753875
FAIRVIEW,550790193004006,63,1,0.014357338195077484
FAIRVIEW,550790193004007,55,1,0.01253418413855971
FAIRVIEW,550790193004008,3,1,6.836827711941659e-4
FAIRVIEW,550790193004009,46,1,0.010483135824977211
FAIRVIEW,550790193004010,71,1,0.01618049225159526
FAIRVIEW,550790193004011,77,1,0.01754785779398359
FAIRVIEW,550791016004024,17,1,0.0038742023701002735
FERNWOOD,550790208001000,90,1,0.024278392230914485
FERNWOOD,550790208001003,116,1,0.031292149986512
FERNWOOD,550790208001004,116,1,0.031292149986512
FERNWOOD,550790208001005,50,1,0.013487995683841382
FERNWOOD,550790208001006,172,1,0.04639870515241435
FERNWOOD,550790208001007,125,1,0.03371998920960345
FERNWOOD,550790208002000,27,1,0.007283517669274346
FERNWOOD,550790208002001,101,1,0.02724575128135959
FERNWOOD,550790208002002,105,1,0.0283247909360669
FERNWOOD,550790208002003,106,1,0.028594550849743727
FERNWOOD,550790208002004,119,1,0.032101429727542485
FERNWOOD,550790208002005,116,1,0.031292149986512
FERNWOOD,550790208002006,87,1,0.023469112489884002
FERNWOOD,550790208002007,106,1,0.028594550849743727
FERNWOOD,550790208002008,104,1,0.028055031022390074
FERNWOOD,550790208002009,11,1,0.002967359050445104
FERNWOOD,550790208002010,1,1,2.697599136768276e-4
FERNWOOD,550790208003000,45,1,0.012139196115457242
FERNWOOD,550790208003001,50,1,0.013487995683841382
FERNWOOD,550790208003002,73,1,0.019692473698408416
FERNWOOD,550790208003003,50,1,0.013487995683841382
FERNWOOD,550790208003004,59,1,0.01591583490693283
FERNWOOD,550790208003005,62,1,0.016725114647963314
FERNWOOD,550790208003006,31,1,0.008362557323981657
FERNWOOD,550790208003007,137,1,0.036957108173725384
FERNWOOD,550790208003009,109,1,0.02940383059077421
FERNWOOD,550790208003010,53,1,0.014297275424871863
FERNWOOD,550790208003011,6,1,0.0016185594820609657
FERNWOOD,550790208004003,69,1,0.018613434043701107
FERNWOOD,550790208004004,85,1,0.02292959266253035
FERNWOOD,550790208004005,108,1,0.029134070677097383
FERNWOOD,550790208004006,97,1,0.02616671162665228
FERNWOOD,550790208004007,83,1,0.022390072835176692
FERNWOOD,550790208004008,116,1,0.031292149986512
FERNWOOD,550790208004009,118,1,0.03183166981386566
FERNWOOD,550790208004010,88,1,0.02373887240356083
FERNWOOD,550790208004011,8,1,0.002158079309414621
FERNWOOD,550790208005000,104,1,0.028055031022390074
FERNWOOD,550790208005001,51,1,0.013757755597518209
FERNWOOD,550790208005002,42,1,0.01132991637442676
FERNWOOD,550790208005003,57,1,0.015376315079579175
FERNWOOD,550790208005004,105,1,0.0283247909360669
FERNWOOD,550790208005005,70,1,0.018883193957377933
FERNWOOD,550790208005006,133,1,0.03587806851901807
FERNWOOD,550790208005007,130,1,0.03506878877798759
FERNWOOD,550791851003000,16,1,0.004316158618829242
FLORIST HIGHLANDS,550790003031002,61,1,0.048451151707704525
FLORIST HIGHLANDS,550790003031003,25,1,0.019857029388403495
FLORIST HIGHLANDS,550790003031004,18,1,0.014297061159650517
FLORIST HIGHLANDS,550790003031005,57,1,0.04527402700555997
FLORIST HIGHLANDS,550790003031006,66,1,0.05242255758538523
FLORIST HIGHLANDS,550790003031007,180,1,0.14297061159650518
FLORIST HIGHLANDS,550790003031008,71,1,0.056393963463065924
FLORIST HIGHLANDS,550790003031009,232,1,0.18427323272438442
FLORIST HIGHLANDS,550790003031010,35,1,0.02779984114376489
FLORIST HIGHLANDS,550790003031011,168,1,0.13343923749007147
FLORIST HIGHLANDS,550790003031012,71,1,0.056393963463065924
FLORIST HIGHLANDS,550790003031013,52,1,0.04130262112787927
FLORIST HIGHLANDS,550790005011000,163,1,0.12946783161239078
