neighborhood,ward,bedrooms,pct.of.ward,pct.of.neighborhood
MIDTOWN,0193,1379,0.8121319199057715,0.2502722323049002
MIDTOWN,0200,15,0.014150943396226415,0.0027223230490018148
MILL VALLEY,0033,148,0.039989192110240476,1
MILLER VALLEY,0201,349,0.4503225806451613,0.6993987975951904
MILLER VALLEY,0202,150,0.10452961672473868,0.30060120240480964
MITCHELL FIELD,0316,42,0.02759526938239159,0.15613382899628253
MITCHELL FIELD,0317,227,0.13592814371257486,0.8438661710037175
MITCHELL PARK,0227,48,0.044036697247706424,1
MITCHELL WEST,0304,62,0.037920489296636085,0.027555555555555555
MITCHELL WEST,0308,615,0.9318181818181818,0.2733333333333333
MITCHELL WEST,0310,634,1,0.2817777777777778
MITCHELL WEST,0311,618,1,0.27466666666666667
MITCHELL WEST,0316,321,0.21090670170827858,0.14266666666666666
MORGAN HEIGHTS,0270,47,0.029974489795918366,0.02428940568475452
MORGAN HEIGHTS,0273,760,0.5855161787365177,0.39276485788113696
MORGAN HEIGHTS,0274,1128,0.8847058823529412,0.5829457364341085
MORGANDALE,0286,677,0.6696340257171117,0.07810336871250577
MORGANDALE,0287,1043,1,0.12032764190124597
MORGANDALE,0288,2428,0.9661758853959411,0.28011075219197046
MORGANDALE,0289,1798,1,0.2074296262113521
MORGANDALE,0290,496,0.28753623188405797,0.05722196585140748
MORGANDALE,0291,419,0.25180288461538464,0.048338717120443006
MORGANDALE,0292,1166,0.7836021505376344,0.13451776649746192
MORGANDALE,0306,641,0.6104761904761905,0.07395016151361329
MOUNT MARY,0082,486,0.30527638190954776,0.21990950226244343
MOUNT MARY,0083,193,0.09035580524344569,0.08733031674208144
MOUNT MARY,0084,181,0.11405166981726528,0.08190045248868778
MOUNT MARY,0085,1350,0.8122743682310469,0.6108597285067874
MOUNT OLIVET,0281,129,0.08087774294670846,0.9020979020979021
MOUNT OLIVET,0326,14,1,0.0979020979020979
MURRAY HILL,0128,259,0.10405785456006428,0.10909856781802864
MURRAY HILL,0129,561,0.275811209439528,0.2363100252737995
MURRAY HILL,0132,35,0.015425297487880123,0.014743049705139006
MURRAY HILL,0133,221,1,0.09309182813816344
MURRAY HILL,0134,585,1,0.2464195450716091
MURRAY HILL,0135,443,0.5074455899198167,0.18660488626790228
MURRAY HILL,0136,270,0.30303030303030304,0.11373209772535804
MUSKEGO WAY,0222,1877,1,0.23577440020097978
MUSKEGO WAY,0223,1388,0.6042664344797563,0.1743499560356739
MUSKEGO WAY,0224,1010,0.5060120240480962,0.12686848385881172
MUSKEGO WAY,0225,1403,0.7250645994832041,0.17623414143951766
MUSKEGO WAY,0229,815,0.5323318092749837,0.10237407360884311
MUSKEGO WAY,0230,1173,0.5761296660117878,0.14734329858058032
MUSKEGO WAY,0231,295,0.24686192468619247,0.03705564627559352
NASH PARK,0089,1324,0.6221804511278195,0.49421425905188504
NASH PARK,0090,1355,0.7646726862302483,0.505785740948115
NATIONAL PARK,0215,279,0.2390745501285347,0.13998996487706974
NATIONAL PARK,0220,1368,0.8377219840783834,0.6864024084295033
NATIONAL PARK,0227,346,0.3174311926605505,0.173607626693427
NEW COELN,0316,560,0.3679369250985545,1
NORTH DIVISION,0112,912,0.5636588380716935,0.1374114810908543
NORTH DIVISION,0117,880,0.5958023019634394,0.13259002561398223
NORTH DIVISION,0143,1552,1,0.23384059062829593
NORTH DIVISION,0144,585,0.6216790648246546,0.08814223293656773
NORTH DIVISION,0145,606,1,0.09130631309326503
NORTH DIVISION,0146,464,1,0.06991110441464517
NORTH DIVISION,0147,543,0.23096554657592513,0.08181407262317313
NORTH DIVISION,0148,1095,0.6956797966963151,0.16498417959921652
NORTH GRANVILLE,0001,202,0.21218487394957983,1
NORTH MEADOWS,0001,333,0.34978991596638653,0.9970059880239521
NORTH MEADOWS,0002,1,1,0.0029940119760479044
NORTHPOINT,0132,1322,0.5826355222565006,0.7149810708491077
NORTHPOINT,0135,69,0.07903780068728522,0.03731746890210925
NORTHPOINT,0180,429,0.8755102040816326,0.23201730665224446
NORTHPOINT,0181,29,0.8055555555555556,0.01568415359653867
NORTHRIDGE,0003,639,0.6733403582718651,1
NORTHRIDGE LAKES,0004,152,0.5547445255474452,1
OLD NORTH MILWAUKEE,0049,73,0.06255355612682091,0.007306575918326494
OLD NORTH MILWAUKEE,0050,480,0.3970223325062035,0.048043238915023524
OLD NORTH MILWAUKEE,0051,1223,1,0.12241016915223701
OLD NORTH MILWAUKEE,0052,1925,1,0.1926734060654589
OLD NORTH MILWAUKEE,0053,747,1,0.07476729056150536
OLD NORTH MILWAUKEE,0054,942,1,0.09428485637073367
OLD NORTH MILWAUKEE,0055,450,0.1897133220910624,0.04504053648283455
OLD NORTH MILWAUKEE,0061,56,0.04105571847507331,0.005605044540086077
OLD NORTH MILWAUKEE,0062,531,0.4840474020054695,0.05314783304974477
OLD NORTH MILWAUKEE,0063,729,0.6520572450805009,0.07296566910219197
OLD NORTH MILWAUKEE,0064,2835,1,0.28375537984185767
PARK KNOLL,0033,1408,0.38043771953526073,1
PARK PLACE,0008,318,0.13724643936124298,1
PARK VIEW,0174,351,0.23572867696440564,0.732776617954071
PARK VIEW,0189,128,0.24806201550387597,0.267223382045929
PARK WEST,0105,487,0.33516861665519615,0.08684022824536376
PARK WEST,0111,1563,1,0.2787089871611983
PARK WEST,0147,1808,0.7690344534240748,0.3223965763195435
PARK WEST,0149,1332,0.6478599221789884,0.23751783166904422
PARK WEST,0151,418,0.39065420560747666,0.07453637660485021
PARKWAY HILLS,0030,8,0.006191950464396285,0.015779092702169626
PARKWAY HILLS,0032,499,0.17969031328772056,0.9842209072978304
PHEASANT RUN,0006,756,0.3188528047237453,0.4195338512763596
PHEASANT RUN,0007,1046,0.8146417445482866,0.5804661487236404
POLLBER HEIGHTS,0005,278,0.5952890792291221,1
POLONIA,0252,1024,0.6881720430107527,0.2247585601404741
POLONIA,0285,462,1,0.10140474100087796
POLONIA,0286,271,0.26805143422354105,0.05948200175592625
POLONIA,0290,1229,0.712463768115942,0.26975417032484633
POLONIA,0291,1245,0.7481971153846154,0.27326602282704127
POLONIA,0292,11,0.00739247311827957,0.002414398595258999
POLONIA,0322,314,0.9345238095238095,0.06892010535557506
RED OAK HEIGHTS,0276,745,0.31905781584582443,1
