ward,blockgroup,bedrooms,pct.of.blockgroup,pct.of.ward
0030,550790015003,669,1,0.5178018575851393
0031,550790005022,1367,1,1
0032,550790003021,970,0.5581127733026467,0.34929780338494776
0032,550790003032,706,0.8059360730593608,0.2542311847317249
0032,550790003042,491,0.18719024018299657,0.17680950666186532
0032,550790005021,610,1,0.21966150522146202
0033,550790003011,1308,1,0.3534179951364496
0033,550790003021,686,0.3947065592635213,0.18535530937584438
0033,550790003031,1035,1,0.27965414752769524
0033,550790003032,170,0.19406392694063926,0.04593353147797893
0033,550790005011,502,0.963531669865643,0.1356390164820319
0034,550790004001,850,1,0.619533527696793
0034,550790004002,85,1,0.0619533527696793
0034,550790005012,437,0.22318692543411645,0.3185131195335277
0035,550790005011,19,0.036468330134357005,0.010526315789473684
0035,550790005012,1521,0.7768130745658836,0.8426592797783934
0035,550790005013,265,0.8054711246200608,0.14681440443213298
0036,550790005013,64,0.1945288753799392,0.06293018682399214
0036,550790017003,3,0.00641025641025641,0.0029498525073746312
0036,550790017004,699,1,0.6873156342182891
0036,550790017005,251,0.6019184652278178,0.24680432645034414
0037,550790005023,188,1,0.2865853658536585
0037,550790016002,468,0.7684729064039408,0.7134146341463414
0038,550790017001,27,0.02601156069364162,0.041033434650455926
0038,550790017003,465,0.9935897435897436,0.7066869300911854
0038,550790017005,166,0.3980815347721823,0.25227963525835867
0039,550790017001,1011,0.9739884393063584,0.6194852941176471
0039,550790017002,621,1,0.3805147058823529
0040,550790016001,908,1,0.86558627264061
0040,550790016002,141,0.2315270935960591,0.1344137273593899
0041,550790018002,730,1,0.5619707467282525
0041,550790018003,569,1,0.4380292532717475
0042,550790030003,796,0.796,0.4270386266094421
0042,550790030004,1068,1,0.572961373390558
0043,550790018001,517,1,1
0044,550790030001,908,1,0.4741514360313316
0044,550790030002,803,1,0.41932114882506527
0044,550790030003,204,0.204,0.10652741514360313
0045,550790019001,300,0.351288056206089,0.18975332068311196
0045,550790019002,413,0.45185995623632386,0.2612270714737508
0045,550790019003,679,1,0.42947501581277675
0045,550790019004,189,1,0.11954459203036052
0046,550790029002,1213,1,1
0047,550790028001,867,1,0.4116809116809117
0047,550790028002,334,0.3142050799623706,0.15859449192782527
0047,550790029001,905,1,0.42972459639126304
0048,550790019001,554,0.6487119437939111,0.5251184834123223
0048,550790019002,501,0.5481400437636762,0.47488151658767774
0049,550790020001,72,0.08823529411764706,0.061696658097686374
0049,550790020002,287,0.5627450980392157,0.24592973436161097
0049,550790020003,808,1,0.6923736075407027
0050,550790025003,480,0.6751054852320675,0.3970223325062035
0050,550790028002,729,0.6857949200376293,0.6029776674937966
